城市,区域,公司全名,公司简称,公司规模,融资阶段,职位名称,工资,工作经验,学历要求,职位福利,行业,发布时间
北京,朝阳区,北京五八到家信息技术有限公司,58到家,2000人以上,D轮及以上,数据分析师-电销,20k-30k,3-5年,本科,"近地铁,扁平化,福利高,前景好",消费生活,2019/8/12 11:30
北京,朝阳区,北京金山网络科技有限公司,猎豹移动,500-2000人,上市公司,数据分析师,15k-30k,不限,不限,五险一金，超长年假，免费班车,"移动互联网,信息安全",2019/8/14 0:59
北京,朝阳区,珠海随变科技有限公司,必要商城,150-500人,不需要融资,数据分析师-用户画像方向,15k-25k,3-5年,本科,"C2M,牛人多,盈利平台",电商,2019/8/13 14:14
北京,朝阳区,北京亿心宜行汽车技术开发服务有限公司,e代驾,500-2000人,D轮及以上,数据分析师-BI,10k-20k,3-5年,本科,五险一金、补充医疗、高额餐补、高额奖金,"移动互联网,消费生活",2019/8/13 11:24
北京,朝阳区,和信电子商务有限公司,和信贷,150-500人,上市公司,数据分析师,15k-25k,3-5年,本科,五险一金 地铁周边 周末双休 带薪年假,金融,2019/8/12 14:12
北京,朝阳区,北京陌陌科技有限公司,陌陌,500-2000人,上市公司,【2020校招】数据分析师（反Spam方向）,10k-20k,应届毕业生,本科,福利待遇好，发展前景好,社交,2019/7/24 16:49
北京,朝阳区,厦门美柚信息科技有限公司,美柚,500-2000人,D轮及以上,数据分析师-增长方向,15k-30k,3-5年,本科,发展空间大,移动互联网,2019/8/14 17:48
北京,朝阳区,包头市包银消费金融股份有限公司,包银消费金融,150-500人,不需要融资,数据分析师(J10177),10k-20k,1-3年,本科,六险一金；节日福利；年终奖,金融,2019/8/13 8:59
北京,朝阳区,北京三快在线科技有限公司,美团点评,2000人以上,上市公司,数据分析岗-—供应链方向,15k-30k,3-5年,本科,大平台，机会多，有发展,消费生活,2019/8/14 10:02
北京,朝阳区,北京春雨听雷网络科技有限公司,papitube,50-150人,A轮,数据分析师,15k-20k,3-5年,本科,"环境好,团队和谐,同时融洽,晋升空间大","文娱丨内容,移动互联网",2019/8/9 18:50
北京,朝阳区,雪球（北京）技术开发有限公司,雪球,150-500人,D轮及以上,资深数据分析师,20k-35k,3-5年,不限,六险一金 扁平管理 午餐补助,金融,2019/8/14 10:13
北京,朝阳区,北京新工场投资顾问有限公司,她理财,50-150人,A轮,数据分析师,10k-20k,1-3年,本科,互联网金融 期权激励 六险一金 优秀团队,金融,2019/8/12 10:21
北京,朝阳区,和信电子商务有限公司,和信贷,150-500人,上市公司,数据分析师,10k-20k,1-3年,本科,五险一金、周末双休,金融,2019/8/12 14:12
